letter,frequency,percent
А,10410211,19.979
Н,3468274,6.6562
Л,2997509,5.7527
Е,2761844,5.3005
Р,2711554,5.2039
И,2677637,5.1389
О,2535109,4.8653
У,2122731,4.0739
Т,2018969,3.8748
Х,1870841,3.5905
Д,1807192,3.4683
Ш,1606128,3.0824
Й,1318539,2.5305
М,1281259,2.459
Ц,1233844,2.368
ХЬ,1197476,2.2982
С,1170835,2.247
К,1024732,1.9666
Ч,1020168,1.9579
Г,1009372,1.9372
Б,984559,1.8895
В,836668,1.6057
З,633924,1.2166
КХ,552175,1.0597
АЬ,413418,0.7934
КЪ,378486,0.7264
П,361682,0.6941
УЬ,355357,0.682
ОЬ,312294,0.5993
Ж,197491,0.379
Я,194649,0.3736
Ю,156996,0.3013
Э,126342,0.2425
Ф,72675,0.1395
Ъ,70736,0.1358
Ь,53573,0.1028
Ы,42827,0.0822
ЮЬ,22625,0.0434
ЯЬ,22612,0.0434
Ӏ,17774,0.0341
ГӀ,17453,0.0335
ТӀ,12977,0.0249
ХӀ,9334,0.0179
Щ,4128,0.0079
ЦӀ,3756,0.0072
КӀ,3280,0.0063
ЧӀ,1844,0.0035
Ё,1730,0.0033
ПӀ,102,0.0002
