variant,W,p,langs_count
Æ,81061.4822850000,0.0005837679,1
Ё,231069.6985715253,0.0016640588,41
Є,205307.8515000000,0.0014785337,1
І,4218231.2643348584,0.0303777819,9
Ї,401886.9270000000,0.0028942068,1
Ј,1309.0494829400,0.0000094272,2
Ў,768212.5165092676,0.0055323169,3
Џ,352.1565406000,0.0000025361,1
А,16827773.9767022803,0.1211859700,52
А̄,128.7932250000,0.0000009275,1
АЬ,29503.4087959000,0.0002124701,6
АӀ,339.2202165000,0.0000024429,1
Аᵸ,1.1333333333,0.0000000082,1
Б,3251728.9660393563,0.0234174722,52
В,3681212.4822978550,0.0265104170,52
Г,3024896.5002025133,0.0217839280,52
ГЪ,79900.4687665204,0.0005754068,15
ГЬ,62318.1700738840,0.0004487871,11
ГӀ,18420.0547736148,0.0001326529,6
Д,5044155.3938940465,0.0363257116,52
ДЖ,4123.8106932000,0.0000296978,4
ДЗ,7.4718105000,0.0000000538,1
ДЬ,1808.4579156000,0.0000130237,1
Е,6208111.5950055318,0.0447079945,52
Е̄,64.3966130000,0.0000004638,1
Еᵸ,1.1333333333,0.0000000082,1
Ж,1122212.8135245452,0.0080816660,52
ЖЪ,885.5915400000,0.0000063776,1
ЖЬ,8509.6460200000,0.0000612826,2
З,2400156.6933139334,0.0172848362,52
И,9566591.6476141922,0.0688942394,51
Иᵸ,1.1333333333,0.0000000082,1
Й,1958182.4183191003,0.0141019386,51
К,5046760.1736614089,0.0363444700,52
КІ,18873.5697498000,0.0001359189,2
КК,844.5676762000,0.0000060822,3
КХ,28750.9627148000,0.0002070513,2
КЪ,92284.0977012480,0.0006645881,16
КЬ,27049.4494467704,0.0001947978,11
КӀ,26808.3054568920,0.0001930612,11
Л,6831459.3257666454,0.0491970611,52
ЛЛЪ,1.7642910000,0.0000000127,1
ЛЪ,64780.7973606984,0.0004665218,6
ЛЬ,0.2382120000,0.0000000017,1
ЛӀ,3517.3052428600,0.0000253300,4
М,4442202.6831010850,0.0319907221,52
Н,9659802.8634693362,0.0695655041,52
НЪ,9168.3707026000,0.0000660264,2
НЬ,605.9656008000,0.0000043639,1
О,7921161.2877608361,0.0570445987,52
О̄,29.9929430000,0.0000002160,1
ОЬ,13976.6619066000,0.0001006536,3
Оᵸ,1.1333333333,0.0000000082,1
П,2460022.1849514022,0.0177159602,52
ПІ,16.5023649000,0.0000001188,1
ПП,258.4816919000,0.0000018615,2
ПӀ,8282.1001259116,0.0000596439,11
Р,8010278.3698705966,0.0576863794,52
С,5195027.7584570004,0.0374122257,52
СС,3971.0463597000,0.0000285977,1
Т,6622495.5937887793,0.0476921994,52
ТІ,938.6541171000,0.0000067598,1
ТТ,1970.2671025000,0.0000141890,2
ТӀ,17439.0246093416,0.0001255879,13
У,4507426.1381173804,0.0324604318,52
УЬ,23748.9426211000,0.0001710291,6
УӀ,134.4925945000,0.0000009686,1
Уᵸ,1.1333333333,0.0000000082,1
Ф,573222.2026454735,0.0041280854,51
ФӀ,2698.9573000000,0.0000194367,1
Х,1248172.8523128468,0.0089887729,52
ХІ,1054.6454772000,0.0000075951,1
ХХ,716.5046034000,0.0000051599,2
ХЪ,32076.3181749960,0.0002309990,13
ХЬ,88420.4464361644,0.0006367638,15
ХЬХЬ,227.2350024000,0.0000016364,1
ХӀ,15345.5974536416,0.0001105120,6
Ц,923215.6278639808,0.0066485788,49
ЦІ,697.8799674000,0.0000050258,1
ЦЦ,106.4839231000,0.0000007668,2
ЦӀ,11472.2704196772,0.0000826181,12
Ч,1398229.3966057999,0.0100694118,51
ЧІ,1279.0154853000,0.0000092109,1
ЧЧ,321.5243273000,0.0000023155,3
ЧӀ,9604.5575248280,0.0000691677,11
Ш,1860614.9378221135,0.0133993020,52
ШЪ,3860.9098200000,0.0000278045,1
ШӀ,4966.1386200000,0.0000357639,1
Щ,184063.9985288189,0.0013255452,46
ЩӀ,13273.2206000000,0.0000955877,1
Ъ,144929.8383637698,0.0010437187,45
Ы,3003897.7483160570,0.0216327045,45
ЫӀ,243.5810355000,0.0000017542,1
Ь,1151693.2554840464,0.0082939707,47
Э,829884.2119542478,0.0059764484,49
Ю,541668.6410030426,0.0039008510,49
ЮЬ,923.1381136000,0.0000066480,1
Я,1779407.0617523442,0.0128144799,49
ЯЬ,1592.5929902000,0.0000114691,2
Ѣ,829.8269558896,0.0000059760,1
Ѳ,10.1229421970,0.0000000729,1
Ѵ,0.1221605454,0.0000000009,1
Ґ,14576.4967000000,0.0001049733,2
Ғ,456708.2716529042,0.0032890051,7
