variant,W,p,langs_count
І,4218231.2643348584,0.0303777819,9
Қ,1437936.8754736660,0.0103553670,5
Ў,768212.5165092676,0.0055323169,3
Ә,716707.5375788999,0.0051614015,6
Ғ,456708.2716529042,0.0032890051,7
Ү,423110.9782609898,0.0030470527,10
Ҳ,418594.5760780300,0.0030145276,4
Ї,401886.9270000000,0.0028942068,1
Ө,382091.5070350162,0.0027516491,10
Ң,368783.8501149769,0.0026558135,9
Є,205307.8515000000,0.0014785337,1
Ұ,159028.6194012000,0.0011452517,1
Æ,81061.4822850000,0.0005837679,1
Һ,78186.8580324200,0.0005630662,8
Җ,40177.9944030110,0.0002893436,4
Ҡ,39338.8983623000,0.0002833008,2
Ӑ,39264.1490664982,0.0002827625,1
Ӗ,38167.3564768426,0.0002748639,1
Ҙ,35413.6360259000,0.0002550329,1
Ӏ,31045.4220341697,0.0002235750,10
Ҫ,28046.1167710858,0.0002019754,2
Ӧ,22968.5372522097,0.0001654090,8
Ґ,14576.4967000000,0.0001049733,2
Ӹ,9339.3052138928,0.0000672574,2
Ӱ,6635.4769426988,0.0000477857,5
Ӓ,6614.4332256619,0.0000476341,2
Ҥ,6074.9986536094,0.0000437494,4
Ӥ,3826.6059348000,0.0000275575,1
Ҕ,3186.2353320000,0.0000229458,1
Ҭ,2984.5385830000,0.0000214933,1
Ҷ,2645.8231442300,0.0000190540,2
Ԥ,2546.6438976000,0.0000183398,1
Ӳ,2449.3591204722,0.0000176392,1
Ӣ,1968.3750662550,0.0000141753,2
Ҵ,1883.8563806000,0.0000135667,1
Ҟ,1877.9410684000,0.0000135241,1
Ӈ,1585.7936046300,0.0000114202,2
Ӡ,1410.6994210000,0.0000101592,1
Ҩ,1311.8959000000,0.0000094477,1
Ј,1309.0494829400,0.0000094272,2
Ӯ,1188.7665168600,0.0000085610,1
Ӟ,917.7646500000,0.0000066093,1
Ҿ,852.1015440000,0.0000061364,1
Ӵ,834.2393400000,0.0000060078,1
Ѣ,829.8269558896,0.0000059760,1
Ӷ,469.8706772000,0.0000033838,1
Ҽ,418.5176938000,0.0000030140,1
Џ,352.1565406000,0.0000025361,1
Ӝ,276.4680336000,0.0000019910,1
ᵸ,173.7826390000,0.0000012515,1
Ӌ,120.2766579000,0.0000008662,1
Ӂ,74.9539591500,0.0000005398,1
Ѳ,10.1229421970,0.0000000729,1
Ѵ,0.1221605454,0.0000000009,1
