variant,W,p,langs_count,contains_non_russian
КЪ,92284.0977012480,0.0006645881,16,0
ХЬ,88420.4464361644,0.0006367638,15,0
ГЪ,79900.4687665204,0.0005754068,15,0
ЛЪ,64780.7973606984,0.0004665218,6,0
ГЬ,62318.1700738840,0.0004487871,11,0
ХЪ,32076.3181749960,0.0002309990,13,0
АЬ,29503.4087959000,0.0002124701,6,0
КХ,28750.9627148000,0.0002070513,2,0
КЬ,27049.4494467704,0.0001947978,11,0
КӀ,26808.3054568920,0.0001930612,11,1
УЬ,23748.9426211000,0.0001710291,6,0
КІ,18873.5697498000,0.0001359189,2,1
ГӀ,18420.0547736148,0.0001326529,6,1
ТӀ,17439.0246093416,0.0001255879,13,1
ХӀ,15345.5974536416,0.0001105120,6,1
ОЬ,13976.6619066000,0.0001006536,3,0
ЩӀ,13273.2206000000,0.0000955877,1,1
ЦӀ,11472.2704196772,0.0000826181,12,1
ЧӀ,9604.5575248280,0.0000691677,11,1
НЪ,9168.3707026000,0.0000660264,2,0
ЖЬ,8509.6460200000,0.0000612826,2,0
ПӀ,8282.1001259116,0.0000596439,11,1
ШӀ,4966.1386200000,0.0000357639,1,1
ДЖ,4123.8106932000,0.0000296978,4,0
СС,3971.0463597000,0.0000285977,1,0
ШЪ,3860.9098200000,0.0000278045,1,0
ЛӀ,3517.3052428600,0.0000253300,4,1
ФӀ,2698.9573000000,0.0000194367,1,1
ТТ,1970.2671025000,0.0000141890,2,0
ДЬ,1808.4579156000,0.0000130237,1,0
ЯЬ,1592.5929902000,0.0000114691,2,0
ЧІ,1279.0154853000,0.0000092109,1,1
ХІ,1054.6454772000,0.0000075951,1,1
ТІ,938.6541171000,0.0000067598,1,1
ЮЬ,923.1381136000,0.0000066480,1,0
ЖЪ,885.5915400000,0.0000063776,1,0
КК,844.5676762000,0.0000060822,3,0
ХХ,716.5046034000,0.0000051599,2,0
ЦІ,697.8799674000,0.0000050258,1,1
НЬ,605.9656008000,0.0000043639,1,0
АӀ,339.2202165000,0.0000024429,1,1
ЧЧ,321.5243273000,0.0000023155,3,0
ПП,258.4816919000,0.0000018615,2,0
ЫӀ,243.5810355000,0.0000017542,1,1
ХЬХЬ,227.2350024000,0.0000016364,1,0
УӀ,134.4925945000,0.0000009686,1,1
А̄,128.7932250000,0.0000009275,1,1
ЦЦ,106.4839231000,0.0000007668,2,0
Е̄,64.3966130000,0.0000004638,1,1
О̄,29.9929430000,0.0000002160,1,1
ПІ,16.5023649000,0.0000001188,1,1
ДЗ,7.4718105000,0.0000000538,1,0
ЛЛЪ,1.7642910000,0.0000000127,1,0
Аᵸ,1.1333333333,0.0000000082,1,1
Еᵸ,1.1333333333,0.0000000082,1,1
Иᵸ,1.1333333333,0.0000000082,1,1
Оᵸ,1.1333333333,0.0000000082,1,1
Уᵸ,1.1333333333,0.0000000082,1,1
ЛЬ,0.2382120000,0.0000000017,1,0
