rank,symbol,weighted_population,share,langs_count
1,А,2291770.808183,0.1271986338,52
2,Н,1168968.914711,0.0648805056,52
3,Р,1069946.215163,0.0593845145,52
4,Л,1005367.560652,0.0558002483,52
5,И,978007.069119,0.0542816771,51
6,Е,971418.320391,0.0539159862,52
7,Т,849161.132937,0.0471304266,52
8,К,722290.630391,0.0400888174,52
9,Ы,668123.898681,0.0370824372,45
10,У,663116.226892,0.0368044997,52
11,О,621672.484010,0.0345042752,52
12,Д,582930.888592,0.0323540261,52
13,С,565439.262190,0.0313832000,52
14,М,530565.568373,0.0294476285,52
15,Г,448384.586736,0.0248863921,52
16,Ә,437047.854645,0.0242571769,6
17,Б,422552.175577,0.0234526329,52
18,Х,371557.827324,0.0206223274,52
19,Ш,302470.377070,0.0167878125,52
20,В,284164.454433,0.0157717911,52
21,Й,277350.249159,0.0153935868,51
22,Ь,266694.751257,0.0148021817,50
23,П,254159.295028,0.0141064346,52
24,З,245440.773498,0.0136225363,52
25,Ч,207547.344130,0.0115193625,52
26,Э,202261.609107,0.0112259918,49
27,Я,174146.240049,0.0096655232,49
28,Ъ,160105.515993,0.0088862302,48
29,Ӏ,110555.366992,0.0061360811,14
30,Ц,107069.876458,0.0059426283,50
31,Ү,106028.054794,0.0058848047,10
32,Ө,85551.407029,0.0047483030,10
33,Ң,77354.239946,0.0042933410,9
34,Ж,75538.243241,0.0041925490,52
35,Ӕ,75530.111424,0.0041920976,1
36,І,74284.819697,0.0041229810,10
37,Ф,65173.634618,0.0036172890,51
38,Һ,55817.571237,0.0030980056,8
39,Ю,46223.218861,0.0025654966,49
40,Ӑ,39264.149066,0.0021792520,1
41,Ӗ,38167.356477,0.0021183774,1
42,Ҡ,37158.070886,0.0020623597,2
43,Ғ,35441.003281,0.0019670585,7
44,Ҙ,33409.492867,0.0018543049,1
45,Ҫ,27746.863062,0.0015400157,2
46,Җ,27140.120655,0.0015063401,4
47,Щ,26904.124322,0.0014932418,45
48,Ӧ,20798.423877,0.0011543611,8
49,Қ,20176.301485,0.0011198319,5
50,Ё,12924.622862,0.0007173468,40
51,Ӹ,9339.305214,0.0005183533,2
52,Ҳ,9043.739673,0.0005019487,4
53,Ў,7944.360352,0.0004409306,3
54,Ӓ,6614.433226,0.0003671165,2
55,Ӱ,6192.167883,0.0003436798,5
56,Ї,5600.571183,0.0003108448,1
57,Ҥ,5551.828700,0.0003081395,4
58,Ӥ,3826.605935,0.0002123856,1
59,Ҕ,3186.235332,0.0001768435,1
60,Є,2861.106345,0.0001587981,1
61,Ӳ,2449.359120,0.0001359452,1
62,Ұ,2353.217936,0.0001306091,1
63,Ҷ,2341.771259,0.0001299738,2
64,Ӣ,1968.375066,0.0001092494,1
65,Ӯ,1188.766517,0.0000659793,1
66,Ј,943.732062,0.0000523793,2
67,Ӟ,917.764650,0.0000509381,1
68,Ӵ,834.239340,0.0000463022,1
69,Ӈ,803.503665,0.0000445963,2
70,Ѣ,510.252163,0.0000283202,1
71,ᵸ,347.565278,0.0000192907,1
72,Ґ,318.884867,0.0000176989,2
73,Ӝ,276.468034,0.0000153446,1
74,А̄,257.586450,0.0000142966,1
75,Е̄,128.793226,0.0000071483,1
76,Ӌ,89.207097,0.0000049512,1
77,Ӂ,74.953959,0.0000041601,1
78,Ҭ,65.459854,0.0000036332,1
79,О̄,59.985886,0.0000033294,1
80,Ԥ,55.855514,0.0000031001,1
81,Ҵ,41.318603,0.0000022933,1
82,Ҟ,41.188862,0.0000022861,1
83,Ӡ,30.940856,0.0000017173,1
84,Ҩ,28.773799,0.0000015970,1
85,Ҿ,18.689134,0.0000010373,1
86,Ӷ,10.305669,0.0000005720,1
87,Ҽ,9.179344,0.0000005095,1
88,Џ,7.723846,0.0000004287,1
89,Ѳ,6.224494,0.0000003455,1
90,Ѵ,0.075115,0.0000000042,1
