base_letter,priorities
А (U+0410),Ӕ (U+04D4); Ӑ (U+04D0); Ӓ (U+04D2); А̄ (U+0410 U+0304)
Г (U+0413),Ғ (U+0492); Ҕ (U+0494); Ґ (U+0490); Ӷ (U+04F6)
Е (U+0415),Ӗ (U+04D6); Є (U+0404); Ѣ (U+0462); Е̄ (U+0415 U+0304)
Ж (U+0416),Җ (U+0496); Ӝ (U+04DC); Ӂ (U+04C1); Ѥ (U+0464)
З (U+0417),Ҙ (U+0498); Ӟ (U+04DE); Ӡ (U+04E0)
И (U+0418),І (U+0406); Ӥ (U+04E4); Ӣ (U+04E2)
Й (U+0419),Ї (U+0407); Ј (U+0408); Ѵ (U+0474)
К (U+041A),Ҡ (U+04A0); Қ (U+049A); Ҟ (U+049E); Ѯ (U+046E)
Л (U+041B),Ӆ (U+04C5)
Н (U+041D),Ң (U+04A2); Ҥ (U+04A4); Ӈ (U+04C7); ᵸ (U+1D78)
О (U+041E),Ө (U+04E8); Ӧ (U+04E6); О̄ (U+041E U+0304); Ѡ (U+0460)
П (U+041F),Ԥ (U+0524); Ѱ (U+0470)
С (U+0421),Ҫ (U+04AA); С̄ (U+0421 U+0304)
Т (U+0422),Ҭ (U+04AC)
У (U+0423),Ү (U+04AE); Ў (U+040E); Ӱ (U+04F0); Ӳ (U+04F2); Ұ (U+04B0); Ӯ (U+04EE)
Ф (U+0424),Ѳ (U+0472)
Х (U+0425),Һ (U+04BA); Ҳ (U+04B2)
Ц (U+0426),Ҵ (U+04B4)
Ч (U+0427),Ҷ (U+04B6); Ӵ (U+04F4); Ӌ (U+04CB)
Ш (U+0428),Ҿ (U+04BE); Ҽ (U+04BC)
Ы (U+042B),Ӹ (U+04F8)
Ь (U+042C),Ӏ (U+04C0); Ѫ (U+046A)
Э (U+042D),Ә (U+04D8); Ӭ (U+04EC)
Ю (U+042E),Ҩ (U+04A8); Ѭ (U+046C)
Я (U+042F),Џ (U+040F); Ѧ (U+0466)
